dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,local,arquivamento,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,regime,linksOrigem,norma,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao,observacao
Remissivo,PROJETO DE LEI,PL,3978,1967,DEPUTADO ULISSES ESCOBAR                   PR,INSTITUI O PRÊMIO HIPOLITO JOSÉ DA COSTA.,ADMINISTRAÇÃO PÚBLICA,"CRIAÇÃO, PRÊMIO, TRABALHO, RÁDIO, TELEVISÃO, ASSUNTO, IMPORTÂNCIA,
LEGISLATIVO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-02-03,000151292,PL. 3978 1967 - PROJETO DE LEI,346,HOMENAGEM,ARQUIVO,19710131,20150423,1234,malves,1967-02-02,"list(passo = 1, data = ""1967-02-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,"list(id = 346, nome = ""DEPUTADO ULISSES ESCOBAR"", partido = ""PR"")",NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3977,1967,GOVERNADOR HÉLIO GARCIA,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE SÃO VICENTE DE PAULO,
CONFERÊNCIA NOSSA SENHORA DO CARMO, DE CAMPOS GERAIS.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, CAMPOS GERAIS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-31,000151293,PL. 3977 1967 - PROJETO DE LEI,,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120305,1503,rosanacf,1967-01-27,"list(passo = 1, data = ""1967-01-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3976,1967,GOVERNADOR DO ESTADO,"DECLARA DE UTILIDADE PÚBLICA A SANTA CASA ASILO DE CARIDADE DE BOM
SUCESSO.",NA,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BOM SUCESSO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-31,000151294,PL. 3976 1967 - PROJETO DE LEI,,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120305,1503,rosanacf,1967-01-27,"list(passo = 1, data = ""1967-01-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3975,1967,GOVERNADOR DO ESTADO,"PRORROGA, POR MAIS UM ANO, O PRAZO DE CONTRATO DE PROFESSOR DE
ENSINO MÉDIO.",NA,"PRORROGAÇÃO, PRAZO DETERMINADO, CONTRATO, PROFESSOR DE ENSINO MÉDIO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-28,000151295,PL. 3975 1967 - PROJETO DE LEI,,"EDUCAÇÃO
PESSOAL",ARQUIVO,19710131,20130401,0956,vitoria,1967-01-26,"list(passo = 1, data = ""1967-01-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1248 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3974,1967,GOVERNADOR DO ESTADO,"CONCEDE AUXÍLIO FINANCEIRO À COMISSÃO PROMOTORA DAS COMEMORAÇÕES
DO CENTENÁRIO DA GUERRA DA TRÍPLICE ALIANÇA.",NA,"CONCESSÃO, AUXÍLIO FINANCEIRO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-28,000151296,PL. 3974 1967 - PROJETO DE LEI,,AUXÍLIO FINANCEIRO,ARQUIVO,19710131,20130401,0955,vitoria,1967-01-28,"list(passo = 1, data = ""1967-01-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,"list(descricao = ""MSG 1247 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3973,1967,GOVERNADOR DO ESTADO,"AUTORIZA A CRIAÇÃO DE UM GINÁSIO ESTADUAL NA LOCALIDADE DE
ITAÚ DE MINAS.",NA,"CRIAÇÃO, ESTABELECIMENTO DE ENSINO, ENSINO MÉDIO, MUNICÍPIO, ITAÚ DE
MINAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-28,000151297,PL. 3973 1967 - PROJETO DE LEI,,ESTABELECIMENTO DE ENSINO,ARQUIVO,19710131,20130401,0955,vitoria,1967-01-26,"list(passo = 1, data = ""1967-01-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. HOMERO DOS SANTOS.\nRECEBEU O NÚMERO PL 69 1967, EM 12 4 1967."")","list(expressao = ""(PL adj '69' adj 1967[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 69 1967"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2769%27+adj+1967%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 69, ano = 1967)",list(),N,NULL,NA,"list(descricao = ""MSG 1246 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3972,1967,GOVERNADOR DO ESTADO,AUTORIZA A CRIAÇÃO DE UM GINÁSIO ESTADUAL NA CIDADE DE TURMALINA.,NA,"AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, ESTABELECIMENTO DE ENSINO, ENSINO
MÉDIO, MUNICÍPIO, TURMALINA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-28,000151298,PL. 3972 1967 - PROJETO DE LEI,,ESTABELECIMENTO DE ENSINO,ARQUIVO,19710131,20130401,0954,vitoria,1967-01-26,"list(passo = 1, data = ""1967-01-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. HOMERO DOS SANTOS,\nRECEBEU O NÚMERO PL 68 1967, EM 12 4 1967."")","list(expressao = ""(PL adj '68' adj 1967[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 68 1967"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2768%27+adj+1967%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 68, ano = 1967)",list(),N,NULL,NA,"list(descricao = ""MSG 1245 1967"")",NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3971,1967,DEPUTADO WILSON CHAVES                     PLMTRLT,"AUTORIZA REVERSÃO DE TERRENO AO DOMÍNIO DA MITRA ARQUIDIOCESANA
DE MARIANA.",NA,"AUTORIZAÇÃO, EXECUTIVO, REVERSÃO, TERRENO, DIOCESE DE MARIANA,
MUNICÍPIO, MARIANA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-27,000151299,PL. 3971 1967 - PROJETO DE LEI,742,IMÓVEL,ARQUIVO,19710131,20130401,0954,vitoria,1967-01-25,"list(passo = 1, data = ""1967-01-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")",list(),list(),N,NULL,NA,NULL,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,3970,1967,COMISSÃO FISCALIZAÇÃO FINANCEIRA E TOMADA DE CONTAS,CONCEDE SUBVENÇÕES A DIVERSAS INSTITUIÇÕES.,NA,"CONCESSÃO, SUBVENÇÃO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1967-01-25,000151300,PL. 3970 1967 - PROJETO DE LEI,,SUBVENÇÃO,NA,NA,20130401,0953,vitoria,1967-01-24,"list(passo = 1, data = ""1967-01-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 25 1 1967\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 26 1 1967\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 27 1 1967\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 1 1967\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 26 1 1967\nFINANÇAS\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MARTINS SILVEIRA\nPUBLICAÇÃO: 27 1 1967\nREDAÇÃO\nREDAÇÃO FINAL\nRELATORA: DEP. MARIA PENA\nPUBLICAÇÃO: 10 8 1967\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 8 1967."")",list(),list(),N,NULL,NA,NULL,LEI 4541 1967 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/4541/1967,LEI 4541 1967 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,3969,1967,GOVERNADOR DO ESTADO,"DÁ NOVA DENOMINAÇÃO À SECRETARIA DE ESTADO DAS COMUNICAÇÕES E OBRAS
PÚBLICAS E DISPÕE SOBRE INSPETORIA DE OBRAS PÚBLICAS.",NA,"ALTERAÇÃO, DENOMINAÇÃO, SECRETARIA DE ESTADO DAS COMUNICAÇÕES E OBRAS
PÚBLICAS, TRANSFORMAÇÃO, SECRETARIA DE ESTADO DA VIAÇÃO E OBRAS
PÚBLICAS.
ALTERAÇÃO, ORGANIZAÇÃO ADMINISTRATIVA, COMPETÊNCIA, ÓRGÃOS, SECRETARIA
DE ESTADO DA VIAÇÃO E OBRAS PÚBLICAS.
CRIAÇÃO, CARGO PÚBLICO, INSPETOR-CHEFE, CHEFE DE SEÇÃO, FUNÇÃO
GRATIFICADA, ENGENHEIRO-INSPETOR.
CARGO PÚBLICO, SECRETÁRIO DE ESTADO, RESULTADO, TRANSFORMAÇÃO, MEMBROS,
CONSELHO ESTADUAL DE DESENVOLVIMENTO.
COMPETÊNCIA, SECRETÁRIO DE ESTADO, EXERCÍCIO, VICE-PRESIDÊNCIA, CONSELHO
ESTADUAL DE DESENVOLVIMENTO.
EXTINÇÃO, FUNÇÃO, VICE-PRESIDÊNCIA, CONSELHO ESTADUAL DE
DESENVOLVIMENTO.
AUTORIZAÇÃO, EXECUTIVO, ALIENAÇÃO, IMÓVEL, PRODUTO, CONSTRUÇÃO,
EDIFÍCIO-SEDE, (SADMG), (ALMG).
AUTORIZAÇÃO, EXECUTIVO, ABERTURA, CRÉDITO ESPECIAL.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1967-01-25,000151301,PL. 3969 1967 - PROJETO DE LEI,,SECRETARIA DE ESTADO,ARQUIVO,19710131,20120329,1626,rosanacf,1967-01-23,"list(passo = 1, data = ""1967-01-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nARQUIVADO, FINAL DE LEGISLATURA"")","list(expressao = ""(PL adj '30' adj 1967[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 30 1967"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2730%27+adj+1967%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 30, ano = 1967)",list(),N,NULL,NA,"list(descricao = ""MSG 1240 1967"")",NA,NA,NA,NA,NA,NA
