dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,local,arquivamento,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,autoresEstruturados,tema,regime,norma,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,observacao,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,1729,1970,GOVERNADOR DO ESTADO,"AUTORIZA A CRIAÇÃO DO CURSO COLEGIAL NORMAL NO GINÁSIO ESTADUAL
DE TEIXEIRAS, QUE PASSARÁ A DENOMINAR-SE ""COLÉGIO ESTADUAL DE
TEIXEIRAS"".","AUTORIZAÇÃO, EXECUTIVO, CRIAÇÃO, CURSO COLEGIAL, ALTERAÇÃO, DENOMINAÇÃO,
ESTABELECIMENTO DE ENSINO, MUNICÍPIO, TEIXEIRAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-12-02,000149556,PL. 1729 1970 - PROJETO DE LEI,,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19710131,20120411,1505,rosanacf,1970-11-30,"list(passo = 1, data = ""1970-11-30"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),"list(descricao = ""MSG 670 1970"")",N,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1728,1970,GOVERNADOR DO ESTADO,"DÁ NOVA ESTRUTURA AO COLÉGIO ESTADUAL JOÃO BELLO DE OLIVEIRA, DE
CARANGOLA, E CONTÉM OUTRAS PROVIDÊNCIAS.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-12-02,000149557,PL. 1728 1970 - PROJETO DE LEI,,NA,ARQUIVO,19710131,20090424,1148,m17663,1970-11-30,"list(passo = 1, data = ""1970-11-30"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),"list(descricao = ""MSG 669 1970"")",N,NULL,NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1725,1970,DEPUTADO JORGE FERRAZ                      MDB,"TRANSFORMA EM ESCOLAS REUNIDAS AS ESCOLAS COMBINADAS DE ITABIRITO E
LHES DÁ A DENOMINAÇÃO DE ESCOLAS REUNIDAS MARIA ELISA SOARES E SILVA.","ALTERAÇÃO, CLASSIFICAÇÃO, ESCOLAS COMBINADAS, TRANSFORMAÇÃO, ESCOLAS
REUNIDAS, MUNICÍPIO, ITABIRITO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-12-01,000149559,PL. 1725 1970 - PROJETO DE LEI,314,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19710131,20120402,1413,rosanacf,1970-11-27,"list(passo = 1, data = ""1970-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,"list(id = 314, nome = ""DEPUTADO JORGE FERRAZ"", partido = ""MDB"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1724,1970,DEPUTADO HERÁCLITO ORTIGA                  ARENA,"DESTINA O PRÉDIO DA CADEIA PÚBLICA DE SÃO FRANCISCO PARA
INSTALAÇÃO DO GRUPO ESCOLAR PROFESSOR RAUL REGINALDO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-12-01,000149560,PL. 1724 1970 - PROJETO DE LEI,1174,NA,ARQUIVO,19710131,20090424,1139,m17663,1970-11-27,"list(passo = 1, data = ""1970-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,"list(id = 1174, nome = ""DEPUTADO HERÁCLITO ORTIGA"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1720,1970,DEPUTADO AMILCAR PADOVANI                  MDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO ATLÉTICA MASCARENHAS,
DA CIDADE DE JUIZ DE FORA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-11-28,000149563,PL. 1720 1970 - PROJETO DE LEI,1189,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120229,1049,rosanacf,1970-11-26,"list(passo = 1, data = ""1970-11-26"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,"list(id = 1189, nome = ""DEPUTADO AMILCAR PADOVANI"", partido = ""MDB"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1719,1970,DEPUTADO AMILCAR PADOVANI                  MDB,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE PRÓ-MELHORAMENTOS DO BAIRRO
YPIRANGA, DA CIDADE DE JUIZ DE FORA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-11-28,000149564,PL. 1719 1970 - PROJETO DE LEI,1189,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120229,1049,rosanacf,1970-11-26,"list(passo = 1, data = ""1970-11-26"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,"list(id = 1189, nome = ""DEPUTADO AMILCAR PADOVANI"", partido = ""MDB"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1718,1970,DEPUTADO AGOSTINHO CAMPOS NETO             ARENA,"RECONHECE DE UTILIDADE PÚBLICA AS OBRAS SOCIAIS SENHOR BOM JESUS,
DE CONGONHAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, CONGONHAS.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-11-28,000149565,PL. 1718 1970 - PROJETO DE LEI,730,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120229,1048,rosanacf,1970-11-26,"list(passo = 1, data = ""1970-11-26"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. GERARDO RENAULT.\nTRANSFORMADO NO PROJETO DE LEI 215/1971."")","list(expressao = ""(PL adj '215' adj 1971[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 215 1971"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27215%27+adj+1971%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 215, ano = 1971)",list(),NULL,N,"list(id = 730, nome = ""DEPUTADO AGOSTINHO CAMPOS NETO"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1715,1970,DEPUTADO ORLANDO ANDRADE                   ARENA,"DECLARA A UTILIDADE PÚBLICA DA ""ASSOCIAÇÃO DE EDUCAÇÃO E ASSISTÊNCIA DE
ARAGUARI"", COM SEDE NA CIDADE DE ARAGUARI.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ARAGUARI.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1970-11-25,000149570,PL. 1715 1970 - PROJETO DE LEI,361,UTILIDADE PÚBLICA,ARQUIVO,19710131,20120229,1048,rosanacf,1970-11-23,"list(passo = 1, data = ""1970-11-23"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,"list(id = 361, nome = ""DEPUTADO ORLANDO ANDRADE"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1713,1970,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A CONCEDER À PREFEITURA MUNICIPAL DE VIÇOSA O
AUXÍLIO FINANCEIRO DE CR$ 30.000,00 (TRINTA MIL CRUZEIROS)",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1970-11-25,000149571,PL. 1713 1970 - PROJETO DE LEI,,AUXÍLIO FINANCEIRO,NA,NA,20131022,1402,rosanacf,1970-11-23,"list(passo = 1, data = ""1970-11-23"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 11 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 11 1970\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. CHRISTOVAM CHIARADIA\nPUBLICAÇÃO: 26 11 1970\nFINANÇAS\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 26 11 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 1 12 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 12 1970."")",list(),list(),"list(descricao = ""MSG 667 1970"")",N,NULL,FINANÇAS PÚBLICAS,DELIBERAÇÃO DE PLENÁRIO,LEI 5645 1970 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/5645/1970,LEI 5645 1970 - LEI ORDINÁRIA,NA,NA
Remissivo,PROJETO DE LEI,PL,1712,1970,DEPUTADO SEBASTIÃO NASCIMENTO              ARENA,"DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO UNIVERSIDADE DE PATOS DE
MINAS, COM SEDE EM PATOS DE MINAS.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, PATOS DE MINAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1970-11-21,000149573,PL. 1712 1970 - PROJETO DE LEI,718,UTILIDADE PÚBLICA,NA,NA,20120229,1047,rosanacf,1970-11-19,"list(passo = 1, data = ""1970-11-19"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 26 11 1970\nREDAÇÃO FINAL\nAPROVAÇÃO: NÃO CONSTA\nCOMISSÕES:\nJUSTIÇA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 26 11 1970\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 28 11 1970\nSANCIONADO\nPUBLICAÇÃO DA LEI: 8 12 1970."")",list(),list(),NULL,N,"list(id = 718, nome = ""DEPUTADO SEBASTIÃO NASCIMENTO"", partido = ""ARENA"")",NA,DELIBERAÇÃO DE PLENÁRIO,LEI 5636 1970 - LEI ORDINÁRIA,NA,/legislacao/mineira/LEI/5636/1970,LEI 5636 1970 - LEI ORDINÁRIA,NA,NA
