dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,regime,norma,atualizacao,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,tema,matricula,assuntoGeral,horario,indexacao,autoresEstruturados,local,arquivamento,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,653,1972,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A RECEBER, EM DOAÇÃO, O IMÓVEL
QUE MENCIONA, NO MUNICÍPIO DE NOVA ERA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1973-01-17,000148895,PL. 653 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6071 1973 - LEI ORDINÁRIA,19980101,Carga,1973-01-16,"list(passo = 1, data = ""1973-01-16"", local = ""PLENÁRIO"", historico = ""PLENÁRIO\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 3 1973\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nRELATOR: DEP. GERALDO QUINTÃO\nPERDEU PRAZO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: NÃO CONSTA\nPUBLICAÇÃO: PERDEU PRAZO\nSANCIONADO\nPUBLICAÇÃO DA LEI: 13 4 1973."")",list(),list(),"list(descricao = ""MSG 230 1973"")",N,NA,NA,NA,NA,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6071/1973,LEI 6071 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,652,1972,GOVERNADOR DO ESTADO,"CONTÉM O ESTATUTO DO MAGISTÉRIO DO ENSINO DE 1º E 2º GRAUS EM MINAS
GERAIS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-12-02,000148896,PL. 652 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6277 1973 - LEI ORDINÁRIA,20150219,m17461,1972-11-30,"list(passo = 1, data = ""1972-11-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 22 11 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 29 11 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 11 1973\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPERDEU PRAZO\nEDUCAÇÃO\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. IBRAHIM ABI-ACKEL\nPUBLICAÇÃO: 17 11 1973\nFINANÇAS\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: 17 11 1973\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO PEDRO GUSTIN\nPUBLICAÇÃO: 27 11 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. IBRAHIM ABI-ACKEL\nPUBLICAÇÃO: 7 12 1973 E 13 12 1973\nVETADO TOTALMENTE.\nVETO MANTIDO. PUBLICAÇÃO DAS RAZÕES DO VETO: 28 12 1973."")",list(),list(),"list(descricao = ""MSG 224 1972"")",N,EDUCAÇÃO,,"PESSOAL
SECRETARIA DE ESTADO",1553,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6277/1973,LEI 6277 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,651,1972,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A INSTITUIR A FUNDAÇÃO ESTADUAL
DE ASSISTÊNCIA LEPROCOMIAL, COM SEDE EM BELO HORIZONTE
E DÁ OUTRAS PROVIDÊNCIAS.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-30,000148897,PL. 651 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6081 1973 - LEI ORDINÁRIA,20131021,rosanacf,1972-11-29,"list(passo = 1, data = ""1972-11-29"", local = ""PLENÁRIO"", historico = ""PLENÁRIO\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 12 4 1973\nCOMISSÕES:\nJUSTIÇA, SAÚDE E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 7 4 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: NÃO CONSTA\nPUBLICAÇÃO: PERDEU PRAZO\nSANCIONADO\nPUBLICAÇÃO DA LEI: 12 5 1973."")",list(),list(),"list(descricao = ""MSG 223 1972"")",N,"ADMINISTRAÇÃO PÚBLICA
SAÚDE PÚBLICA",,"FUNDAÇÃO PÚBLICA
SAÚDE PÚBLICA",1635,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6081/1973,LEI 6081 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,650,1972,GOVERNADOR DO ESTADO,CONCEDE PENSÃO ESPECIAL À VIÚVA DO EX-DEPUTADO ALVARO SALLES.,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-30,000148898,PL. 650 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6073 1973 - LEI ORDINÁRIA,19980101,Carga,1972-11-29,"list(passo = 1, data = ""1972-11-29"", local = ""PLENÁRIO"", historico = ""PLENÁRIO\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 23 3 1973\nCOMISSÕES:\nJUSTIÇA, SAÚDE E FINANÇAS (REUNIÃO CONJUNTA)\nRELATOR: DEP. JOÃO PEDRO GUSTIN\nPERDEU PRAZO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOÃO PEDRO GUSTIN\nPUBLICAÇÃO: NÃO CONSTA\nSANCIONADO\nPUBLICAÇÃO DA LEI: 13 4 1973."")",list(),list(),"list(descricao = ""MSG 222 1972"")",N,NA,NA,NA,NA,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6073/1973,LEI 6073 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,648,1972,DEPUTADO GERALDO QUINTÃO                   ARENA,"DECLARA DE UTILIDADE PÚBLICA O GRÊMIO MÍNERO-METALÚRGICO ""LOUIS ENSCH"",
COM SEDE EM BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-30,000148899,PL. 648 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6114 1973 - LEI ORDINÁRIA,20120306,rosanacf,1972-11-28,"list(passo = 1, data = ""1972-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 10 4 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 7 6 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 20 6 1973\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. FRANCISCO BILAC PINTO\nPUBLICAÇÃO: 30 3 1973\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 4 5 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 13 6 1973\nSANCIONADO\nPUBLICAÇÃO DA LEI: 3 7 1973."")",list(),list(),NULL,N,NA,750,UTILIDADE PÚBLICA,1112,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.","list(id = 750, nome = ""DEPUTADO GERALDO QUINTÃO"", partido = ""ARENA"")",NA,NA,NA,/legislacao/mineira/LEI/6114/1973,LEI 6114 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,647,1972,DEPUTADO JOÃO PEDRO GUSTIN                 ARENA,"CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO DO ESTADO DE MINAS
GERAIS AO PROFESSOR MILTON DE MAGALHÃES PORTO.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1972-11-30,000148900,PL. 647 1972 - PROJETO DE LEI,NA,NA,20150518,m17461,1972-11-28,"list(passo = 1, data = ""1972-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,NA,1462,HOMENAGEM,1038,"CONCESSÃO HONORÍFICA, TÍTULO, CIDADÃO.","list(id = 1462, nome = ""DEPUTADO JOÃO PEDRO GUSTIN"", partido = ""ARENA"")",ARQUIVO,19750131,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,646,1972,DEPUTADO GERARDO RENAULT                   ARENA,"DECLARA DE UTILIDADE PÚBLICA O INSTITUTO FREI LEOPOLDO, COM SEDE EM
BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-30,000148901,PL. 646 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6241 1973 - LEI ORDINÁRIA,20120306,rosanacf,1972-11-28,"list(passo = 1, data = ""1972-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 10 10 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 29 11 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 29 11 1973\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. FRANCISCO BILAC PINTO\nPUBLICAÇÃO: 9 8 1973\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. MARCOS TITO\nPUBLICAÇÃO: 26 10 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NELSON LOMBARDI\nPUBLICAÇÃO: 4 12 1973\nSANCIONADO\nPUBLICAÇÃO DA LEI: 11 12 1973."")",list(),list(),NULL,N,NA,1176,UTILIDADE PÚBLICA,1111,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.","list(id = 1176, nome = ""DEPUTADO GERARDO RENAULT"", partido = ""ARENA"")",NA,NA,NA,/legislacao/mineira/LEI/6241/1973,LEI 6241 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,645,1972,DEPUTADO JOÃO BELLO                        ARENA,"DÁ DENOMINAÇÃO AO FÓRUM DA COMARCA DE RESPLENDOR DE DR. AMÉRICO MARTINS
DA COSTA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-30,000148902,PL. 645 1972 - PROJETO DE LEI,NA,LEI 6132 1973 - LEI ORDINÁRIA,20120516,rosanacf,1972-11-28,"list(passo = 1, data = ""1972-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 5 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 14 6 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 6 1973\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. MARCOS TITO\nPUBLICAÇÃO: 3 4 1973\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. JOÃO NAVARRO\nPUBLICAÇÃO: 23 5 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 27 6 1973\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 7 1973."")",list(),list(),NULL,N,NA,310,PRÓPRIO PÚBLICO,1757,"DENOMINAÇÃO, FÓRUM, COMARCA DE RESPLENDOR.","list(id = 310, nome = ""DEPUTADO JOÃO BELLO"", partido = ""ARENA"")",NA,NA,NA,/legislacao/mineira/LEI/6132/1973,LEI 6132 1973 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,644,1972,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"DECLARA DE UTILIDADE PÚBLICA A SANTA CASA DE MISERICÓRDIA DE
NEPOMUCENO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-28,000148904,PL. 644 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6282 1974 - LEI ORDINÁRIA,20120306,rosanacf,1972-11-24,"list(passo = 1, data = ""1972-11-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 10 10 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 30 11 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 27 3 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. AMILCAR PADOVANI\nPUBLICAÇÃO: 9 8 1973\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 26 10 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NÍLSON GONTIJO\nPUBLICAÇÃO: 27 3 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 10 4 1974."")",list(),list(),NULL,N,NA,281,UTILIDADE PÚBLICA,1110,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, NEPOMUCENO.","list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")",NA,NA,NA,/legislacao/mineira/LEI/6282/1974,LEI 6282 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,643,1972,DEPUTADO BONIFÁCIO DE ANDRADA,DECLARA DE UTILIDADE PÚBLICA A UNIÃO COLEGIAL MUNICIPAL DE NEPOMUCENO.,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1972-11-28,000148905,PL. 643 1972 - PROJETO DE LEI,DELIBERAÇÃO DE PLENÁRIO,LEI 6150 1973 - LEI ORDINÁRIA,20120306,rosanacf,1972-11-24,"list(passo = 1, data = ""1972-11-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 4 5 1973\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 4 9 1973\nREDAÇÃO FINAL\nAPROVAÇÃO: 11 10 1973\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. VALDIR MELGAÇO\nPUBLICAÇÃO: 3 4 1973\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. RUY DA COSTA VAL\nPUBLICAÇÃO: 23 5 1973\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 10 10 1973\nSANCIONADO\nPUBLICAÇÃO DA LEI: 25 10 1973."")",list(),"list(expressao = ""(PL adj '660' adj 1973[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 660 1973"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%27660%27+adj+1973%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 660, ano = 1973)",NULL,N,NA,281,UTILIDADE PÚBLICA,1109,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, NEPOMUCENO.",NULL,NA,NA,NA,/legislacao/mineira/LEI/6150/1973,LEI 6150 1973 - LEI ORDINÁRIA,NA
