dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,observacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,norma,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,indexacao,assuntoGeral,local,arquivamento,atualizacao,horario,tema,linksOrigem,legislacaoCitada,linkLegislacao.url,linkLegislacao.rotulo,proposicaoLei.descricao
Remissivo,PROJETO DE LEI,PL,10620,1974,DEPUTADO VICENTE GUABIROBA                 ARENA,"AUTORIZA O PODER EXECUTIVO A FAZER REVERTER AO PATRIMÔNIO DO
MUNICÍPIO DE CARMÉSIA O IMÓVEL COM AS CARACTERÍSTICAS DESCRITAS.",PUBLICADO COMO PROJETO DE LEI 1062 A 1974.,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1974-05-17,000148483,PL. 10620 1974 - PROJETO DE LEI,1464,DELIBERAÇÃO DE PLENÁRIO,LEI 6455 1974 - LEI ORDINÁRIA,Carga,1974-05-15,"list(passo = 1, data = ""1974-05-15"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 16 8 1974\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 17 9 1974\nREDAÇÃO FINAL\nAPROVAÇÃO: 1 10 1974\nCOMISSÕES:\nJUSTIÇA\nPRIMEIRA DISCUSSÃO\nRELATOR: DEP. TARCISIO DELGADO\nPUBLICAÇÃO: 1 6 1974\nFINANÇAS\nPRIMEIRO DISCUSSÃO\nRELATOR: DEP. ANTHERO ROCHA\nPUBLICAÇÃO: 1 6 1974\nFINANÇAS\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. WILSON TANURE\nPUBLICAÇÃO: 23 8 1974\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EUCLIDES CINTRA\nPUBLICAÇÃO: 24 9 1974 E 17 10 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 18 10 1974"")",list(),list(),N,"list(id = 1464, nome = ""DEPUTADO VICENTE GUABIROBA"", partido = ""ARENA"")",NA,NA,NA,NA,NA,NA,NA,NULL,NA,/legislacao/mineira/LEI/6455/1974,LEI 6455 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,1316,1974,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"DENOMINA DE PROFESSOR TEODOMIRO SANTIAGO A ESCOLA DE PRIMEIRO GRAU DE
CAXAMBU (GINÁSIO POLIVALENTE).",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-12-03,000148227,PL. 1316 1974 - PROJETO DE LEI,281,NA,NA,rosanacf,1974-11-29,"list(passo = 1, data = ""1974-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. JOSÉ BONIFÁCIO,\nRECEBEU O NÚMERO PL 40 1975."")","list(expressao = ""(PL adj '40' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 40 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2740%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 40, ano = 1975)",list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, CAXAMBU.","PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19750131,20120516,1603,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1315,1974,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"DENOMINA DE ENGENHEIRO HENRIQUE DUMONT A ESCOLA DE PRIMEIRO GRAU DE
SANTOS DUMONT (GINÁSIO POLIVALENTE).",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-12-03,000148228,PL. 1315 1974 - PROJETO DE LEI,281,NA,NA,rosanacf,1974-11-29,"list(passo = 1, data = ""1974-11-29"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO ATRAVÉS DE REQUERIMENTO DO DEPUTADO JOSÉ BONIFÁCIO,\nRECEBEU O NÚMERO PL 20 1975."")","list(expressao = ""(PL adj '20' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 20 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2720%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 20, ano = 1975)",list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, SANTOS DUMONT.","PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",ARQUIVO,19750131,20120516,1603,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1314,1974,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A DISPOR SOBRE PROVENTOS DE APOSENTADORIA E DÁ
OUTRAS PROVIDÊNCIAS.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1974-11-29,000148232,PL. 1314 1974 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,LEI 6530 1974 - LEI ORDINÁRIA,rosanacf,1974-11-28,"list(passo = 1, data = ""1974-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 30 11 1974, COM SUBSTITUTIVO\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 11 1974\nCOMISSÕES:\nJUSTIÇA, SERVIÇO PÚBLICO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. ANTHERO ROCHA\nPUBLICAÇÃO: 30 11 1974, COM SUBSTITUTIVO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MAURÍLIO CAMBRAIA\nPUBLICAÇÃO: 5 12 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 14 12 1974."")",list(),list(),N,NULL,NA,"EXECUTIVO
PESSOAL",NA,NA,20131021,1438,ADMINISTRAÇÃO PÚBLICA,"list(descricao = ""MSG 503 1974"")",NA,/legislacao/mineira/LEI/6530/1974,LEI 6530 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,1313,1974,GOVERNADOR DO ESTADO,"CONCEDE PENSÃO ESPECIAL À VIÚVA DO EX-DEPUTADO DANIEL JARDIM
GRISÓLIA.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1974-11-29,000148233,PL. 1313 1974 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,LEI 6518 1974 - LEI ORDINÁRIA,Carga,1974-11-28,"list(passo = 1, data = ""1974-11-28"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 30 11 1974, COM EMENDAS\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 11 1974\nCOMISSÕES:\nJUSTIÇA, SAÚDE E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO FERRAZ\nPUBLICAÇÃO: 30 11 1974 E 5 12 1974, COM EMENDAS\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MAURÍLIO CAMBRAIA\nPUBLICAÇÃO: 5 12 1974\nSANCIONADO\nPUBLICAÇÃO DA LEI: 11 12 1974."")",list(),list(),N,NULL,NA,NA,NA,NA,19980101,NA,NA,"list(descricao = ""MSG 502 1974"")",NA,/legislacao/mineira/LEI/6518/1974,LEI 6518 1974 - LEI ORDINÁRIA,NA
Remissivo,PROJETO DE LEI,PL,1312,1974,DEPUTADO LÚCIO DE SOUZA CRUZ               ARENA,"DECLARA DE UTILIDADE PÚBLICA A ESCOLA DE SAMBA MONTE CASTELO, DE NOVA
LIMA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-11-30,000148229,PL. 1312 1974 - PROJETO DE LEI,323,NA,NA,rosanacf,1974-11-28,"list(passo = 1, data = ""1974-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. LÚCIO DE SOUZA CRUZ,\nRECEBEU O NÚMERO PL 42 1975."")","list(expressao = ""(PL adj '42' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 42 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2742%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 42, ano = 1975)",list(),N,"list(id = 323, nome = ""DEPUTADO LÚCIO DE SOUZA CRUZ"", partido = ""ARENA"")","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, NOVA LIMA.",UTILIDADE PÚBLICA,ARQUIVO,19750131,20120227,1708,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1311,1974,DEPUTADO BONIFÁCIO DE ANDRADA              ARENA,"DECLARA DE UTILIDADE PÚBLICA O CONSELHO MUNICIPAL DE BEM ESTAR DO MENOR
DE SÃO JOÃO NEPOMUCENO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-11-30,000148230,PL. 1311 1974 - PROJETO DE LEI,281,NA,NA,rosanacf,1974-11-28,"list(passo = 1, data = ""1974-11-28"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA.\nDESARQUIVADO A REQUERIMENTO DO DEP. JOSÉ BONIFÁCIO,\nRECEBEU O NÚMERO PL 19 1975."")","list(expressao = ""(PL adj '19' adj 1975[PROP])[dbmt]"", banco = ""mate"", descricao = ""PL. 19 1975"", url = ""/proposicoes/pesquisa/avancada?expr=%28PL+adj+%2719%27+adj+1975%5BPROP%5D%29%5Bdbmt%5D"", tipo = ""PL"", numero = 19, ano = 1975)",list(),N,"list(id = 281, nome = ""DEPUTADO BONIFÁCIO DE ANDRADA"", partido = ""ARENA"")","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SÃO JOÃO NEPOMUCENO.",UTILIDADE PÚBLICA,ARQUIVO,19750131,20120227,1706,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1308,1974,DEPUTADO MÁRIO HUGO LADEIRA                ARENA,DECLARA DE UTILIDADE PÚBLICA A FUNDAÇÃO CULTURAL DE PIRACEMA.,NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-11-29,000148234,PL. 1308 1974 - PROJETO DE LEI,328,NA,NA,rosanacf,1974-11-27,"list(passo = 1, data = ""1974-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 328, nome = ""DEPUTADO MÁRIO HUGO LADEIRA"", partido = ""ARENA"")","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, PIRACEMA.",UTILIDADE PÚBLICA,ARQUIVO,19750131,20120227,1705,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1307,1974,DEPUTADO FERNANDO JUNQUEIRA                ARENA,"DECLARA DE UTILIDADE PÚBLICA O CENTRO ESPÍRITA AMOR E CARIDADE
ESTRELA BRANCA, COM SEDE NA CIDADE DE JUIZ DE FORA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-11-29,000148235,PL. 1307 1974 - PROJETO DE LEI,1468,NA,NA,rosanacf,1974-11-27,"list(passo = 1, data = ""1974-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1468, nome = ""DEPUTADO FERNANDO JUNQUEIRA"", partido = ""ARENA"")","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, JUIZ DE FORA.",UTILIDADE PÚBLICA,ARQUIVO,19750131,20120227,1704,NA,NULL,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1306,1974,DEPUTADO MARTINS SILVEIRA                  ARENA,"AUTORIZA O PODER EXECUTIVO A REVERTER TERRENO RECEBIDO EM
DOAÇÃO NA CIDADE DE CATAGUASES.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1974-11-29,000148236,PL. 1306 1974 - PROJETO DE LEI,747,NA,NA,m17663,1974-11-27,"list(passo = 1, data = ""1974-11-27"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 747, nome = ""DEPUTADO MARTINS SILVEIRA"", partido = ""ARENA"")",NA,NA,ARQUIVO,19750131,20090402,0841,NA,NULL,NA,NA,NA,NA
