dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,tema,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,regime,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,indexacao,autoresEstruturados,legislacaoCitada,local,arquivamento,linkLegislacao.url,linkLegislacao.rotulo
Remissivo,PROJETO DE LEI,PL,806,1976,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A CONCEDER AUXÍLIO FINANCEIRO À FUNDAÇÃO
MINEIRA DE EDUCAÇÃO E CULTURA - FUMEC.",FINANÇAS PÚBLICAS,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-28,000147402,PL. 806 1976 - PROJETO DE LEI,,DELIBERAÇÃO DE PLENÁRIO,"AUXÍLIO FINANCEIRO
FUNDAÇÃO PÚBLICA",LEI 6984 1977 - LEI ORDINÁRIA,20131017,1551,rosanacf,1976-12-27,"list(passo = 1, data = ""1976-12-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 31 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 1 4 1977\nCOMISSÕES:\nJUSTIÇA, EDUCAÇÃO E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: NÃO CONSTA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: NÃO CONSTA\nSANCIONADO\nPUBLICAÇÃO DA LEI: 27 4 1977"")",list(),list(),"list(descricao = ""MSG 412 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6984/1977,LEI 6984 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,805,1976,GOVERNADOR DO ESTADO,AUTORIZA A FUNDAÇÃO FURTADO DE MENEZES A ALIENAR IMÓVEIS.,NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-21,000147403,PL. 805 1976 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6985 1977 - LEI ORDINÁRIA,19980101,NA,Carga,1976-12-10,"list(passo = 1, data = ""1976-12-10"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 29 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 3 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nPERDEU O PRAZO\nDESIGNADO O DEP. EUCLIDES CINTRA PARA PARECER ORAL EM PLENÁRIO\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOÃO MARQUES\nPUBLICAÇÃO: NÃO CONSTA\nSANCIONADO\nPUBLICAÇÃO DA LEI: 27 4 1977"")",list(),list(),"list(descricao = ""MSG 383 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6985/1977,LEI 6985 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,804,1976,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ALIENAR ÁREAS DE TERRAS DEVOLUTAS
A TELECOMUNICAÇÕES DE MINAS GERAIS S.A. - TELEMIG E DÁ OUTRAS
PROVIDÊNCIAS.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-21,000147404,PL. 804 1976 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6978 1977 - LEI ORDINÁRIA,19980101,NA,Carga,1976-12-10,"list(passo = 1, data = ""1976-12-10"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 29 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 3 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nPERDEU O PRAZO\nNOMEADO RELATOR EM PLENÁRIO O DEP. EUCLIDES CINTRA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JOÃO MARQUES\nPUBLICAÇÃO: NÃO CONSTA\nSANCIONADO\nPUBLICAÇÃO DA LEI: 19 4 1977"")",list(),list(),"list(descricao = ""MSG 385 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6978/1977,LEI 6978 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,803,1976,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A ALIENAR A COMPANHIA SUZANO DE PAPEL
E CELULOSE TERRAS DEVOLUTAS SITUADAS NOS MUNICÍPIOS DE TURMALINA,
MINAS NOVAS E VIRGEM DA LAPA.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-21,000147405,PL. 803 1976 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6977 1977 - LEI ORDINÁRIA,19980101,NA,Carga,1976-12-10,"list(passo = 1, data = ""1976-12-10"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 24 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 3 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JOÃO MARQUES\nPUBLICAÇÃO: NÃO CONSTA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MILTON LIMA\nPUBLICAÇÃO: 29 3 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 19 4 1977"")",list(),list(),"list(descricao = ""MSG 384 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6977/1977,LEI 6977 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,802,1976,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A FAZER REVERTER AO PATRIMÔNIO DA
MITRA ARQUIDIOCESANA DE MARIANA O IMÓVEL QUE MENCIONA.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-21,000147406,PL. 802 1976 - PROJETO DE LEI,NA,DELIBERAÇÃO DE PLENÁRIO,NA,LEI 6982 1977 - LEI ORDINÁRIA,19980101,NA,Carga,1976-12-10,"list(passo = 1, data = ""1976-12-10"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 31 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 1 4 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. CARLOS LEMOS\nPUBLICAÇÃO: 26 3 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: NÃO CONSTA\nSANCIONADO\nPUBLICAÇÃO DA LEI: 27 4 1977"")",list(),list(),"list(descricao = ""MSG 383 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6982/1977,LEI 6982 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,801,1976,GOVERNADOR DO ESTADO,"AUTORIZA O SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI
A DOAR PARTE DE IMÓVEL E BENFEITORIAS RECEBIDOS EM DOAÇÃO.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-21,000147407,PL. 801 1976 - PROJETO DE LEI,NA,NA,NA,LEI 6979 1977 - LEI ORDINÁRIA,20020206,NA,MOREKA,1976-12-10,"list(passo = 1, data = ""1976-12-10"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 24 3 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 25 3 1977\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. VICENTE GUABIROBA\nPUBLICAÇÃO: NÃO CONSTA\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. MILTON LIMA\nPUBLICAÇÃO: 29 3 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 19 4 1977"")",list(),list(),"list(descricao = ""MSG 382 1976"")",N,NA,NULL,NA,NA,NA,/legislacao/mineira/LEI/6979/1977,LEI 6979 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,800,1976,DEPUTADO JORGE ORLANDO CARONE              MDB,"DECLARA DE UTILIDADE PÚBLICA A FILARMÔNICA DE VISCONDE DO RIO
BRANCO, DE VISCONDE DO RIO BRANCO.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-07,000147409,PL. 800 1976 - PROJETO DE LEI,1691,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6999 1977 - LEI ORDINÁRIA,20120306,1525,rosanacf,1976-12-03,"list(passo = 1, data = ""1976-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 8 3 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 29 4 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 13 5 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 17 5 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 16 4 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. SÉRGIO FERRARA\nPUBLICAÇÃO: 6 5 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: 2 6 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 6 1977"")",list(),list(),NULL,N,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, VISCONDE DO RIO BRANCO.","list(id = 1691, nome = ""DEPUTADO JORGE ORLANDO CARONE"", partido = ""MDB"")",NA,NA,NA,/legislacao/mineira/LEI/6999/1977,LEI 6999 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,799,1976,DEPUTADA JÚNIA MARISE                      MDB,"DECLARA DE UTILIDADE PÚBLICA O ASILO PADRE JOÃO ANESI, DE CAMPINA
VERDE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-07,000147410,PL. 799 1976 - PROJETO DE LEI,1684,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7004 1977 - LEI ORDINÁRIA,20120306,1524,rosanacf,1976-12-03,"list(passo = 1, data = ""1976-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 15 3 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 18 4 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 13 5 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 17 5 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 25 3 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 21 4 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: 4 6 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 16 6 1977"")",list(),list(),NULL,N,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, CAMPINA VERDE.","list(id = 1684, nome = ""DEPUTADA JÚNIA MARISE"", partido = ""MDB"")",NA,NA,NA,/legislacao/mineira/LEI/7004/1977,LEI 7004 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,798,1976,DEPUTADA JÚNIA MARISE                      MDB,"DECLARA DE UTILIDADE PÚBLICA A FEDERAÇÃO DAS CONGREGAÇÕES MARIANAS DA
ARQUIDIOCESE DE BELO HORIZONTE, COM SEDE NA CIDADE DE BELO HORIZONTE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-07,000147411,PL. 798 1976 - PROJETO DE LEI,1684,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 6998 1977 - LEI ORDINÁRIA,20120306,1523,rosanacf,1976-12-03,"list(passo = 1, data = ""1976-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 16 3 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 25 4 1977\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 10 5 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 13 5 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. CÍCERO DUMONT\nPUBLICAÇÃO: 24 3 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. SÉRGIO FERRARA\nPUBLICAÇÃO: 29 4 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. LUIZ JUNQUEIRA\nPUBLICAÇÃO: (NÃO CONSTA)\nSANCIONADO\nPUBLICAÇÃO DA LEI: 15 6 1977"")",list(),list(),NULL,N,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.","list(id = 1684, nome = ""DEPUTADA JÚNIA MARISE"", partido = ""MDB"")",NA,NA,NA,/legislacao/mineira/LEI/6998/1977,LEI 6998 1977 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,797,1976,DEPUTADA JÚNIA MARISE                      MDB,"DECLARA DE UTILIDADE PÚBLICA A SOCIEDADE CIVIL BEM ESTAR FAMILIAR NO
BRASIL - BEMFAM, SITUADA EM BELO HORIZONTE.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1976-12-07,000147412,PL. 797 1976 - PROJETO DE LEI,1684,DELIBERAÇÃO DE PLENÁRIO,UTILIDADE PÚBLICA,LEI 7095 1977 - LEI ORDINÁRIA,20120306,1522,rosanacf,1976-12-03,"list(passo = 1, data = ""1976-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 14 3 1977\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 1 9 1977, NA FORMA DE SUBSTITUTIVO\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 16 9 1977\nREDAÇÃO FINAL\nAPROVAÇÃO: 20 9 1977\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 30 8 1977\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 10 9 1977\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. DOMINGOS LANNA\nPUBLICAÇÃO: 22 9 1977\nSANCIONADO\nPUBLICAÇÃO DA LEI: 6 10 1977"")",list(),list(),NULL,N,"UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.","list(id = 1684, nome = ""DEPUTADA JÚNIA MARISE"", partido = ""MDB"")",NA,NA,NA,/legislacao/mineira/LEI/7095/1977,LEI 7095 1977 - LEI ORDINÁRIA
