dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,legislacaoCitada,local,norma,arquivamento,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,linksOrigem,acompanhamento,regime,autoresEstruturados,observacao,tema,linkLegislacao.url,linkLegislacao.rotulo,tipoTramitacao.codigo,tipoTramitacao.nome,tipoTramitacao.listaFaseTramitacao,faseAtual.codTipoTramitacao,faseAtual.codigo,faseAtual.nome,faseAtual.ordem,faseAtual.descricao
Remissivo,PROJETO DE LEI,PL,1619,1981,GOVERNADOR DO ESTADO,"ALTERA A REDAÇÃO DO ART 1 DA LEI 7851, DE 13 11 1980, QUE AUTORIZA O
PODER EXECUTIVO A DOAR IMÓVEL À ASSISTÊNCIA MINEIRA DE PROTEÇÃO À
INFÂNCIA.","ALTERAÇÃO, LEI ESTADUAL, AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL,
INSTITUIÇÃO ASSISTENCIAL, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1982-01-14,000144249,PL. 1619 1981 - PROJETO DE LEI,,IMÓVEL,LEI 7851 1980 - LEI ORDINÁRIA,ARQUIVO,LEI 8158 1982 - LEI ORDINÁRIA,19820423,20120605,1704,encnaves,1982-01-08,"list(passo = 1, data = ""1982-01-08"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 17 3 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 23 3 1982\nCOMISSÕES:\nJUSTIÇA E ECONOMIA (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 13 3 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 23 3 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 23 4 1982."")",list(),list(),"list(descricao = ""MSG 648 1981"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/8158/1982,LEI 8158 1982 - LEI ORDINÁRIA,2,Regime de tramitação de deliberação em turno único no Plenário,"list(codTipoTramitacao = c(2, 2, 2, 2, 2), codigo = 1:5, nome = c(""Apresentação"", ""Turno único nas Comissões"", ""Turno único no Plenário"", ""Redação final"", ""Sanção, promulgação ou veto""), ordem = 1:5, descricao = c(""- O projeto foi recebido pela Mesa da Assembleia, numerado, publicado e encaminhado às Comissões para análise"", ""- Comissões discutem o projeto e dão pareceres, com informações para orientar o Plenário\r\n- Os pareceres podem sugerir emendas ao projeto original\r\n- Comissão dará parecer sobre emendas que forem apresentadas no Plenário"", 
""- Deputados discutem e votam o projeto\r\n- Antes de ser votado, o projeto voltará à análise de Comissão se receber emendas"", ""- Comissão dá parecer sobre a redação final do projeto\r\n- Parecer é votado pelo Plenário"", ""- Governador recebe o projeto aprovado e pode transformá-lo em lei ou vetá-lo\r\n- Em alguns casos, cabe à Assembleia fazer a promulgação da lei""))",2,5,"Sanção, promulgação ou veto",5,"- Governador recebe o projeto aprovado e pode transformá-lo em lei ou vetá-lo
- Em alguns casos, cabe à Assembleia fazer a promulgação da lei"
Remissivo,PROJETO DE LEI,PL,1616,1981,DEPUTADO EURÍPEDES CRAIDE                  PMDB,"DECLARA DE UTILIDADE PÚBLICA O HOSPITAL SÃO SALVADOR, COM SEDE NA
CIDADE DE ALÉM PARAÍBA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ALÉM PARAÍBA.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-08,000144254,PL. 1616 1981 - PROJETO DE LEI,1187,UTILIDADE PÚBLICA,NA,NA,LEI 8230 1982 - LEI ORDINÁRIA,NA,20120201,1055,rosanacf,1981-12-03,"list(passo = 1, data = ""1981-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 3 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 30 4 1982\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 12 5 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 17 5 1982\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. ROBERTO JUNQUEIRA\nPUBLICAÇÃO: 27 4 1982\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. ADEMIR LUCAS\nPUBLICAÇÃO: 11 5 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. JÉSUS TRINDADE\nPUBLICAÇÃO: 16 5 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 4 6 1982."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/8230/1982,LEI 8230 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1615,1981,DEPUTADO EURÍPEDES CRAIDE                  PMDB,"DECLARA DE UTILIDADE PÚBLICA O INSTITUTO BOHINDRA, COM SEDE NA CIDADE
DE VESPASIANO.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, VESPASIANO.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-08,000144255,PL. 1615 1981 - PROJETO DE LEI,1187,UTILIDADE PÚBLICA,NA,NA,LEI 8271 1982 - LEI ORDINÁRIA,NA,20120201,1055,rosanacf,1981-12-03,"list(passo = 1, data = ""1981-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 5 3 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 22 6 1982\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 3 8 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 5 8 1982\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 19 6 1982\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MENDES BARROS\nPUBLICAÇÃO: 2 7 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÚLVIO FONTOURA\nPUBLICAÇÃO: 10 8 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 24 8 1982."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 1187, nome = ""DEPUTADO EURÍPEDES CRAIDE"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/8271/1982,LEI 8271 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1614,1981,DEPUTADO ADEMIR LUCAS                      PMDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO COMUNITÁRIA DO BAIRRO SENHOR
BOM JESUS, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-08,000144256,PL. 1614 1981 - PROJETO DE LEI,2030,UTILIDADE PÚBLICA,NA,NA,LEI 8212 1982 - LEI ORDINÁRIA,NA,20120201,1056,rosanacf,1981-12-03,"list(passo = 1, data = ""1981-12-03"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 4 3 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 14 4 1982\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 29 4 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 4 5 1982\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 27 3 1982\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. ROBERTO JUNQUEIRA\nPUBLICAÇÃO: 23 4 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 5 5 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 20 5 1982."")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 2030, nome = ""DEPUTADO ADEMIR LUCAS"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/8212/1982,LEI 8212 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1606,1981,DEPUTADO JOÃO FERRAZ                       PDS,AUTORIZA O PODER EXECUTIVO A DOAR IMÓVEL AO MUNICÍPIO DE VIRGÍNIA.,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, VIRGÍNIA.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1981-12-03,000144263,PL. 1606 1981 - PROJETO DE LEI,1171,IMÓVEL,NA,ARQUIVO,NA,19830131,20120605,1552,rosanacf,1981-02-02,"list(passo = 1, data = ""1981-02-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 12 1981\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,NA,"list(id = 1171, nome = ""DEPUTADO JOÃO FERRAZ"", partido = ""PDS"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1605,1981,GOVERNADOR DO ESTADO,"ALTERA AS LEIS 6013, DE 30 10 1972, E 6583, DE 3 6 1975.
(CENTRO REGIONAL DE CULTURA - CEREC, DE ITAJUBÁ).",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-04,000144261,PL. 1605 1981 - PROJETO DE LEI,NA,NA,NA,NA,LEI 8151 1982 - LEI ORDINÁRIA,NA,19980101,NA,Carga,1981-12-02,"list(passo = 1, data = ""1981-12-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 16 3 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 18 3 1982\nCOMISSÕES:\nJUSTIÇA E EDUCAÇÃO (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 13 3 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 19 3 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 6 4 1982."")",list(),list(),"list(descricao = ""MSG 619 1981"")",N,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/8151/1982,LEI 8151 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1604,1981,GOVERNADOR DO ESTADO,AUTORIZA A DOAÇÃO DE IMÓVEIS SITUADOS NO MUNICÍPIO DE ITAJUBÁ.,"AUTORIZAÇÃO, EXECUTIVO, DOAÇÃO, IMÓVEL, MUNICÍPIO, ITAJUBÁ.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-04,000144262,PL. 1604 1981 - PROJETO DE LEI,,IMÓVEL,NA,NA,LEI 8160 1982 - LEI ORDINÁRIA,NA,20120605,1548,rosanacf,1981-12-02,"list(passo = 1, data = ""1981-12-02"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 16 3 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 23 3 1982\nCOMISSÕES:\nJUSTIÇA E ECONOMIA (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 13 3 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 23 3 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 27 4 1982."")",list(),list(),"list(descricao = ""MSG 618 1981"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/8160/1982,LEI 8160 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1603,1981,GOVERNADOR DO ESTADO,"AUTORIZA O PODER EXECUTIVO A REVERTER IMÓVEL AO PATRIMÔNIO DO MUNICÍPIO
DE PARACATU.","AUTORIZAÇÃO, EXECUTIVO, REVERSÃO, IMÓVEL, MUNICÍPIO, PARACATU.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-01,000144273,PL. 1603 1981 - PROJETO DE LEI,,IMÓVEL,NA,NA,LEI 8154 1982 - LEI ORDINÁRIA,NA,20120605,1553,rosanacf,1981-11-30,"list(passo = 1, data = ""1981-11-30"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 16 3 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 18 3 1982\nCOMISSÕES:\nJUSTIÇA, ECONOMIA E FINANÇAS (REUNIÃO CONJUNTA)\nDISCUSSÃO ÚNICA\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 12 3 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 19 3 1982\nSANCIONADO\nPROMULGAÇÃO DA LEI: 6 4 1982."")",list(),list(),"list(descricao = ""MSG 617 1981"")",N,NA,NULL,NA,NA,/legislacao/mineira/LEI/8154/1982,LEI 8154 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1595,1981,DEPUTADO ADEMIR LUCAS                      PMDB,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO EDUCACIONAL DOS IRMÃOS DE
NOSSA SENHORA, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1981-12-01,000144274,PL. 1595 1981 - PROJETO DE LEI,2030,UTILIDADE PÚBLICA,NA,NA,LEI 8203 1982 - LEI ORDINÁRIA,NA,20120201,1057,rosanacf,1981-11-27,"list(passo = 1, data = ""1981-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 4 3 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 17 3 1982\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 13 4 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 22 4 1982\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nRELATOR: DEP. ROBERTO JUNQUEIRA\nPUBLICAÇÃO: 13 3 1982\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. NARCISO MICHELLI\nPUBLICAÇÃO: 26 3 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. NARCÉLIO MENDES\nPUBLICAÇÃO: 17 4 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 14 5 1982"")",list(),list(),NULL,N,DELIBERAÇÃO DE PLENÁRIO,"list(id = 2030, nome = ""DEPUTADO ADEMIR LUCAS"", partido = ""PMDB"")",NA,NA,/legislacao/mineira/LEI/8203/1982,LEI 8203 1982 - LEI ORDINÁRIA,NA,NA,NULL,NA,NA,NA,NA,NA
Remissivo,PROJETO DE LEI,PL,1594,1981,DEPUTADO KEMIL KUMAIRA                     PSDB,"DECLARA DE UTILIDADE PÚBLICA O TRIBUNAL REGIONAL UMBANDISTA DOS
MUNICÍPIOS DO ESTADO DE MINAS GERAIS - TRUMEMG, COM SEDE EM TEÓFILO
OTÔNI.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, TEÓFILO OTÔNI.",ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1981-12-01,000144275,PL. 1594 1981 - PROJETO DE LEI,1695,UTILIDADE PÚBLICA,NA,ARQUIVO,NA,19830131,20120201,1058,rosanacf,1981-11-27,"list(passo = 1, data = ""1981-11-27"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 3 1982\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),NULL,N,NA,"list(id = 1695, nome = ""DEPUTADO KEMIL KUMAIRA"", partido = ""PSDB"")",NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA
