dominio,tipoProjeto,siglaTipoProjeto,numero,ano,autor,ementa,indexacao,observacao,situacao,siglaSituacao,situacaoGeral,siglaSituacaoGeral,dataPublicacao,numeroDoc,proposicao,matricula,assuntoGeral,norma,atualizacao,horario,usuario,dataUltimaAcao,listaHistoricoTramitacoes,links,linksProposicoesAnexadas,acompanhamento,autoresEstruturados,tema,regime,linksOrigem,local,arquivamento,linkLegislacao.url,linkLegislacao.rotulo
Remissivo,PROJETO DE LEI,PL,20470,1982,DEPUTADO FÚLVIO FONTOURA                   ARENA,"DÁ A DENOMINAÇÃO DE ESCOLA ESTADUAL GERALDA CARVALHO DE SOUZA À ESCOLA
ESTADUAL MOCIDADE ESPÍRITA, DE FRUTAL.","DENOMINAÇÃO, ESTABELECIMENTO DE ENSINO, MUNICÍPIO, FRUTAL.","RETIFICAÇÃO DE NÚMERO PUBLICADA NO DL EM 28 8 1982: PROJETO DE LEI
2047/A.",TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1982-08-26,000143814,PL. 20470 1982 - PROJETO DE LEI,2035,"PRÓPRIO PÚBLICO
ESTABELECIMENTO DE ENSINO",LEI 8361 1982 - LEI ORDINÁRIA,20120503,1753,rosanacf,1982-08-24,"list(passo = 1, data = ""1982-08-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 2 9 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 26 10 1982\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: (NÃO CONSTA)\nREDAÇÃO FINAL\nAPROVAÇÃO: 24 11 1982\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nPERDEU PRAZO\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. ADEMIR LUCAS\nPUBLICAÇÃO: 2 11 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. FÁBIO VASCONCELLOS\nPUBLICAÇÃO: 26 11 1982\nSANCIONADO\nPUBLICAÇÃO DA LEI: 16 12 1982"")",list(),list(),N,"list(id = 2035, nome = ""DEPUTADO FÚLVIO FONTOURA"", partido = ""ARENA"")",NA,NA,NULL,NA,NA,/legislacao/mineira/LEI/8361/1982,LEI 8361 1982 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,2274,1982,GOVERNADOR DO ESTADO,DISPÕE SOBRE PENSÃO POR FALECIMENTO DE DEPUTADO ESTADUAL.,"NORMAS, CONCESSÃO, FIXAÇÃO, VALOR, PENSÃO ESPECIAL, VIÚVA, FILHO MENOR,
EX-DEPUTADO ESTADUAL.",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1982-12-24,000143585,PL. 2274 1982 - PROJETO DE LEI,,BENEFÍCIO PESSOAL,LEI 8393 1983 - LEI ORDINÁRIA,20131015,1603,rosanacf,1982-12-22,"list(passo = 1, data = ""1982-12-22"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\n(NÃO CONSTA TRAMITAÇÃO NO PLENÁRIO)\nEMENDAS PUBLICADAS NO DL EM 23 3 1983\nCOMISSÕES:\nJUSTIÇA E FINANÇAS (REUNIÃO CONJUNTA)\nRELATOR: DEP. FELIPE NERI\nPUBLICAÇÃO: 19 3 1983 E REPUBLICAÇÃO EM 24 3 1983\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. ALCYR NASCIMENTO\nPUBLICAÇÃO: 20 4 1983\nSANCIONADO\nPUBLICAÇÃO DA LEI: 7 5 1983"")",list(),list(),N,NULL,ADMINISTRAÇÃO PÚBLICA,DELIBERAÇÃO DE PLENÁRIO,"list(descricao = ""MSG 973 1982"")",NA,NA,/legislacao/mineira/LEI/8393/1983,LEI 8393 1983 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,2273,1982,DEPUTADO NARCISO MICHELLI                  PFL,"DECLARA DE UTILIDADE PÚBLICA A CORPORAÇÃO MUSICAL EUTERPE
CARLOS GOMES, COM SEDE EM RIO NOVO.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, RIO NOVO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-12-03,000143586,PL. 2273 1982 - PROJETO DE LEI,2046,UTILIDADE PÚBLICA,NA,20120131,1102,rosanacf,1982-12-01,"list(passo = 1, data = ""1982-12-01"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 2046, nome = ""DEPUTADO NARCISO MICHELLI"", partido = ""PFL"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2272,1982,DEPUTADO SYLO COSTA                        PDS,"DECLARA DE UTILIDADE PÚBLICA A AUGUSTA E RESPEITÁVEL LOJA
MAÇÔNICA ACÁCIA SANFRANCISCANA, COM SEDE EM SÃO FRANCISCO.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, SÃO FRANCISCO.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-12-03,000143587,PL. 2272 1982 - PROJETO DE LEI,978,UTILIDADE PÚBLICA,NA,20120131,1118,rosanacf,1982-12-01,"list(passo = 1, data = ""1982-12-01"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 978, nome = ""DEPUTADO SYLO COSTA"", partido = ""PDS"")",NA,NA,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2271,1982,DEPUTADO CÍCERO DUMONT                     ARENA,"DECLARA DE UTILIDADE PÚBLICA A IGREJA SEICHO-NO-IE DO BRASIL,
REGIONAL DE MINAS GERAIS, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-12-03,000143588,PL. 2271 1982 - PROJETO DE LEI,351,UTILIDADE PÚBLICA,NA,20120131,1118,rosanacf,1982-12-01,"list(passo = 1, data = ""1982-12-01"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 351, nome = ""DEPUTADO CÍCERO DUMONT"", partido = ""ARENA"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2255,1982,TRIBUNAL DE CONTAS,ALTERA DISPOSIÇÕES DA ORGANIZAÇÃO JUDICIÁRIA DO ESTADO DE MINAS GERAIS.,"ALTERAÇÃO, ORGANIZAÇÃO JUDICIÁRIA, COMPETÊNCIA, CÂMARA CÍVEL, TRIBUNAL
DE ALÇADA DO ESTADO DE MINAS GERAIS (TAMG).",NA,TRANSFORMADO EM NORMA JURÍDICA,TNJUR,PROPOSIÇÕES APROVADAS,MAPRV,1982-11-30,000143603,PL. 2255 1982 - PROJETO DE LEI,,ORGANIZAÇÃO JUDICIÁRIA,LEI 8437 1983 - LEI ORDINÁRIA,20170123,1543,malves,1982-11-26,"list(passo = 1, data = ""1982-11-26"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 2 12 1982\nSEGUNDA DISCUSSÃO\nAPROVAÇÃO: 8 6 1983\nTERCEIRA DISCUSSÃO\nAPROVAÇÃO: 23 8 1983 NA FORMA DE SUBSTITUTIVO\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 8 1983\nCOMISSÕES:\nJUSTIÇA\nSEGUNDA DISCUSSÃO\nPERDEU PRAZO\nJUSTIÇA\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. WAINER ÁVILA\nPUBLICAÇÃO: 10 8 1983\nTERCEIRA DISCUSSÃO\nRELATOR: DEP. MENDES BARROS\nPUBLICAÇÃO: 20 8 1983\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. GERALDO RIBEIRO\nPUBLICAÇÃO: 26 8 1983\nSANCIONADO\nPUBLICAÇÃO DA LEI: 30 9 1983"")",list(),list(),N,NULL,ADMINISTRAÇÃO PÚBLICA,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,/legislacao/mineira/LEI/8437/1983,LEI 8437 1983 - LEI ORDINÁRIA
Remissivo,PROJETO DE LEI,PL,2254,1982,DEPUTADO JÉSUS TRINDADE                    PDS,"DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO MISSIONÁRIA EVANGÉLICA
PORTA DE SIÃO, COM SEDE EM BELO HORIZONTE.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, BELO HORIZONTE.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-11-27,000143604,PL. 2254 1982 - PROJETO DE LEI,1048,UTILIDADE PÚBLICA,NA,20120131,1119,rosanacf,1982-11-25,"list(passo = 1, data = ""1982-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 12 1982\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1048, nome = ""DEPUTADO JÉSUS TRINDADE"", partido = ""PDS"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2253,1982,DEPUTADO JOÃO NAVARRO                      PDS,"DECLARA DE UTILIDADE PÚBLICA O ASILO SÃO JOSÉ DA CONFERÊNCIA
VICENTINA NOSSA SENHORA DO PORTO, COM SEDE EM ANDRELÂNDIA.","UTILIDADE PÚBLICA, ENTIDADE, MUNICÍPIO, ANDRELÂNDIA.",NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-11-27,000143605,PL. 2253 1982 - PROJETO DE LEI,311,UTILIDADE PÚBLICA,NA,20120131,1119,rosanacf,1982-11-25,"list(passo = 1, data = ""1982-11-25"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nPRIMEIRA DISCUSSÃO\nAPROVAÇÃO: 3 12 1982\nARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 311, nome = ""DEPUTADO JOÃO NAVARRO"", partido = ""PDS"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2251,1982,DEPUTADO RAIMUNDO ALBERGARIA               PDS,"AUTORIZA O PODER EXECUTIVO A CONCEDER ABONO ANUAL AOS SERVIDORES
PÚBLICOS ESTADUAIS.",NA,NA,ARQUIVADO,ARQVD,OUTRAS SITUAÇÕES,MOUTR,1982-11-26,000143617,PL. 2251 1982 - PROJETO DE LEI,1698,NA,NA,20090804,1615,drumo,1982-11-24,"list(passo = 1, data = ""1982-11-24"", local = ""PLENÁRIO"", historico = ""ARQUIVADO, FINAL DE LEGISLATURA."")",list(),list(),N,"list(id = 1698, nome = ""DEPUTADO RAIMUNDO ALBERGARIA"", partido = ""PDS"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,ARQUIVO,19830131,NA,NA
Remissivo,PROJETO DE LEI,PL,2250,1982,DEPUTADO SYLO COSTA                        PDS,DISPÕE SOBRE PENSÃO POR FALECIMENTO DE DEPUTADO ESTADUAL.,NA,NA,PROJETO VETADO TOTALMENTE,PVETO,PROPOSIÇÕES APROVADAS,MAPRV,1982-11-26,000143618,PL. 2250 1982 - PROJETO DE LEI,978,NA,NA,19980101,NA,Carga,1982-11-24,"list(passo = 1, data = ""1982-11-24"", local = ""PLENÁRIO"", historico = ""HISTÓRICO DA TRAMITAÇÃO\nPLENÁRIO:\nDISCUSSÃO ÚNICA\nAPROVAÇÃO: 30 11 1982\nREDAÇÃO FINAL\nAPROVAÇÃO: 30 11 1982\nCOMISSÕES:\nMESA DA ASSEMBLEIA\nDISCUSSÃO ÚNICA\nRELATOR: DEP. JUAREZ HOSKEN\nPUBLICAÇÃO: 1 12 1982\nREDAÇÃO\nREDAÇÃO FINAL\nRELATOR: DEP. EMÍLIO HADDAD\nPUBLICAÇÃO: 2 12 1982\nVETADO TOTALMENTE\nPUBLICAÇÃO DAS RAZÕES DO VETO EM 22 12 1982\nVENTO MANTIDO."")",list(),list(),N,"list(id = 978, nome = ""DEPUTADO SYLO COSTA"", partido = ""PDS"")",NA,DELIBERAÇÃO DE PLENÁRIO,NULL,NA,NA,NA,NA
